Item Name,Category,Price (USD),Stock
Logitech G Pro X Keyboard,Peripherals,129.99,25
Xbox Wireless Controller,Peripherals,59.99,40
HyperX Cloud II Headset,Peripherals,99.99,30
Razer Gigantus V2 Mousepad,Peripherals,14.99,35
SteelSeries Apex Pro Keyboard,Peripherals,199.99,20
Logitech MX Master 3S Mouse,Peripherals,99.99,50
Razer Kraken X Headset,Peripherals,49.99,50
Sony WH-1000XM5 Headphones,Peripherals,399.99,15
Apple Magic Keyboard,Peripherals,99.99,20
Alienware AW310H Gaming Headset,Peripherals,59.99,25
Amazon Basics HDMI Cable,Accessories,8.99,100
Logitech Brio 4K Webcam,Accessories,199.99,15
JBL Charge 5 Bluetooth Speaker,Accessories,179.99,25
Logitech Z407 Speaker System,Accessories,79.99,35
Elgato Stream Deck MK.2,Accessories,149.99,20
HyperX QuadCast Microphone,Accessories,139.99,20
Razer Base Station V2 USB Hub,Accessories,69.99,40
Corsair iCUE LT100 Light Tower,Accessories,129.99,18
PlayStation 5 (Standard),Consoles,499.99,15
Nintendo Switch OLED Model,Consoles,349.99,25
Xbox Series X,Consoles,499.99,20
Steam Deck (512GB),Consoles,649.99,10
PlayStation 5 Digital Edition,Consoles,399.99,15
Nintendo Switch Lite,Consoles,199.99,30
"LG UltraGear 27"" Gaming Monitor",Monitors,349.99,10
Samsung Odyssey G7 Monitor,Monitors,749.99,12
"Dell UltraSharp 32"" Monitor",Monitors,799.99,8
ASUS TUF Gaming VG289Q Monitor,Monitors,329.99,15
Acer Predator X27 Monitor,Monitors,1899.99,5
HP Pavilion 22cwa Monitor,Monitors,99.99,50